,1,2,3,4,5,6,7,8,9,10,11,12
A,2569.6784178197404,2562.278607225091,2585.8730792565593,2605.398197094536,2544.095691210315,2636.841831515049,2620.38586246008,2676.719885253264,2603.4680574854397,2633.3817259909138,2666.5240352308388,2638.074103934262
B,2606.7153165378877,2668.9717997746766,2592.3058116692864,2552.2330872519183,2624.7729290250613,2636.5968373408914,2646.9362392260955,2629.3300762541026,2657.7128046846497,2620.5732540983104,2588.9584330759376,2621.42277471112
C,2591.0810564753306,2578.9283173989165,2636.838973691123,2648.9118501121134,2637.919013182724,2650.390003971694,2607.9866209728025,2641.465153436013,2560.816670550488,2605.1003212960068,2623.7301612215188,2636.6250987181015
D,2582.3833010152593,2612.7577516023907,2638.469798819719,2620.5303515703954,2633.5576603724703,2597.398647963049,2626.619142490864,2593.62951507287,2611.3762149871704,2630.670624148407,2588.0649295039484,2649.762701342757
E,2660.770988130826,2598.584547051735,2596.0208003073285,2594.1985028115114,2614.3139615361215,2629.1845173934353,2592.322271532227,2629.032211863725,2580.6886456341167,2611.9595484204574,2615.2564092524585,2598.572963880104
F,2672.464649165539,2574.7070607671653,2612.821347130086,2584.4482270630506,2592.5959414158388,2593.7406258167857,2572.6902336265907,2583.7216503471623,2625.1796150210803,2597.6935550220574,2609.065116674354,2664.3333194689585
G,2591.27645508181,2575.7608478347884,2620.6770707700152,2559.069626993355,2610.639664226487,2594.1439148967693,2655.020236628282,2575.883975294218,2609.9202812321055,2633.2202472109548,2583.5397159045287,2619.604156615526
H,2587.748601660654,2599.6883680692326,2560.89911621398,2645.7889180255484,2624.587178881872,2602.4124855096543,2598.9606272522724,2570.1433415851643,2580.3673499976903,2638.205198034092,2576.4555667793443,2645.9503161989865
